Part,Dimensions (mm),Volume (mm³),Est. Weight (g),Est. Print Time
combi_hood.stl,166.576431x175.561752x151.575500,158890.890625,185.08,11h 30m 9s
fiberglass_grid.stl,195.600006x166.600006x3.000000,11696.125000,14.13,1h 12m 26s
filter_clamp.stl,208.504715x101.458481x33.500000,17450.246094,19.43,2h 28m 4s
filter_seat.stl,214.902512x182.000000x20.000000,80682.328125,69.10,5h 20m 27s
hat_seat.stl,172.956009x177.325394x12.000000,34282.929688,28.82,2h 6m 59s
indoor_plate.stl,187.664001x219.128006x14.500000,161252.703125,90.17,7h 32m 30s
interior_cover.stl,200.000000x220.828003x75.142090,180584.000000,204.51,20h 28m 36s
noise_splitter.stl,184.000000x166.916016x218.800002,669905.437500,514.30,1d 13h 51m 5s
outdoor_cover.stl,223.000000x230.828430x146.839462,394680.187500,352.31,1d 2h 27m 55s
outdoor_plate.stl,215.000000x220.000000x18.019741,462340.968750,198.94,13h 33m 57s
pipe_extension.stl,111.599998x111.599998x33.000000,31915.765625,38.40,2h 33m 38s
pot.stl,24.000002x16.400001x23.750000,2712.554688,2.28,15m 45s
pot_mount.stl,23.000000x23.000000x29.175003,3914.593750,4.52,27m 21s
regen.stl,148.453003x148.750488x180.000000,3096175.500000,906.53,1d 15h 9m 50s
standard_filter_adapter_plate.stl,209.302521x182.000000x20.000000,66482.843750,56.29,4h 30m 5s
clamp_v2.stl,159.000000x158.982208x10.000002,69363.156250,40.43,2h 59m 50s
flow_straightener_22deg_40mm.stl,120.400002x120.400002x18.999999,59999.375000,50.76,4h 40m 11s
